	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa03460	hsa03460	Fanconi anemia pathway	2/319	54/8011	0.6399545342898134	0.9999999927575778	0.74835525773799	55215/641	2
hsa04950	hsa04950	Maturity onset diabetes of the young	1/319	26/8011	0.6529165830268606	0.9999999927575778	0.74835525773799	4821	1
hsa04022	hsa04022	cGMP-PKG signaling pathway	6/319	167/8011	0.6595126294757159	0.9999999927575778	0.74835525773799	5997/10398/140/1909/4638/3779	6
hsa00480	hsa00480	Glutathione metabolism	2/319	56/8011	0.6596716523402181	0.9999999927575778	0.74835525773799	290/4258	2
hsa04144	hsa04144	Endocytosis	9/319	249/8011	0.6654791641047189	0.9999999927575778	0.74835525773799	1234/1601/10095/2350/7048/7852/858/857/3800	9
hsa00240	hsa00240	Pyrimidine metabolism	2/319	57/8011	0.6692019520806232	0.9999999927575778	0.74835525773799	1806/7378	2
hsa05210	hsa05210	Colorectal cancer	3/319	86/8011	0.671947233424855	0.9999999927575778	0.74835525773799	7048/5880/332	3
hsa04726	hsa04726	Serotonergic synapse	4/319	115/8011	0.678042406526993	0.9999999927575778	0.74835525773799	2786/5743/1843/3751	4
hsa00650	hsa00650	Butanoate metabolism	1/319	28/8011	0.6800962067816627	0.9999999927575778	0.74835525773799	2571	1
hsa04727	hsa04727	GABAergic synapse	3/319	89/8011	0.6944520401061751	0.9999999927575778	0.74835525773799	2571/2786/2550	3
hsa05203	hsa05203	Viral carcinogenesis	7/319	201/8011	0.6951688478614216	0.9999999927575778	0.74835525773799	6850/1234/4067/85477/718/894/991	7
hsa00630	hsa00630	Glyoxylate and dicarboxylate metabolism	1/319	30/8011	0.7051535802480335	0.9999999927575778	0.74835525773799	2731	1
hsa04080	hsa04080	Neuroactive ligand-receptor interaction	12/319	340/8011	0.7090468184526013	0.9999999927575778	0.74835525773799	2357/719/5734/728/3001/718/140/1909/53829/2550/2892/2891	12
hsa04136	hsa04136	Autophagy - other	1/319	32/8011	0.728253933492778	0.9999999927575778	0.74835525773799	55062	1
hsa04929	hsa04929	GnRH secretion	2/319	64/8011	0.7299815007362007	0.9999999927575778	0.74835525773799	2550/6696	2
hsa04921	hsa04921	Oxytocin signaling pathway	5/319	153/8011	0.7352457495658419	0.9999999927575778	0.74835525773799	5997/10398/5743/3759/4638	5
hsa04015	hsa04015	Rap1 signaling pathway	7/319	210/8011	0.7376318402246975	0.9999999927575778	0.74835525773799	3689/2357/3937/7057/1436/5880/6237	7
hsa04130	hsa04130	SNARE interactions in vesicular transport	1/319	33/8011	0.7391183269275197	0.9999999927575778	0.74835525773799	8673	1
hsa04713	hsa04713	Circadian entrainment	3/319	97/8011	0.7487359717436223	0.9999999927575778	0.74835525773799	2786/2892/2891	3
hsa05215	hsa05215	Prostate cancer	3/319	97/8011	0.7487359717436223	0.9999999927575778	0.74835525773799	5328/4318/7850	3
hsa05017	hsa05017	Spinocerebellar ataxia	3/319	98/8011	0.7549490825023472	0.9999999927575778	0.74835525773799	55062/2892/2891	3
hsa04024	hsa04024	cAMP signaling pathway	7/319	216/8011	0.7635617572017727	0.9999999927575778	0.74835525773799	5880/6237/10398/1909/2550/2892/2891	7
hsa00350	hsa00350	Tyrosine metabolism	1/319	36/8011	0.7691813586722238	0.9999999927575778	0.74835525773799	220	1
hsa04728	hsa04728	Dopaminergic synapse	4/319	132/8011	0.777234651504016	0.9999999927575778	0.74835525773799	2786/2892/2891/3800	4
hsa00760	hsa00760	Nicotinate and nicotinamide metabolism	1/319	37/8011	0.7784141043253349	0.9999999927575778	0.74835525773799	4837	1
hsa04020	hsa04020	Calcium signaling pathway	6/319	193/8011	0.7871315572406745	0.9999999927575778	0.74835525773799	2769/5336/7852/1909/4638/2065	6
hsa00982	hsa00982	Drug metabolism - cytochrome P450	2/319	72/8011	0.7875998856279751	0.9999999927575778	0.74835525773799	4258/220	2
hsa04976	hsa04976	Bile secretion	2/319	72/8011	0.7875998856279751	0.9999999927575778	0.74835525773799	366/8714	2
hsa04140	hsa04140	Autophagy - animal	4/319	137/8011	0.8013576991365785	0.9999999927575778	0.74835525773799	8673/1508/6237/55062	4
hsa05225	hsa05225	Hepatocellular carcinoma	5/319	168/8011	0.8053614696027378	0.9999999927575778	0.74835525773799	5336/7048/3162/4258/8324	5
hsa04971	hsa04971	Gastric acid secretion	2/319	75/8011	0.8062578600095631	0.9999999927575778	0.74835525773799	3759/4638	2
hsa04931	hsa04931	Insulin resistance	3/319	108/8011	0.8104794540267087	0.9999999927575778	0.74835525773799	3569/948/9945	3
hsa03440	hsa03440	Homologous recombination	1/319	41/8011	0.81180661826375	0.9999999927575778	0.74835525773799	641	1
hsa05212	hsa05212	Pancreatic cancer	2/319	76/8011	0.8121462762765799	0.9999999927575778	0.74835525773799	7048/5880	2
hsa04721	hsa04721	Synaptic vesicle cycle	2/319	78/8011	0.823446862468914	0.9999999927575778	0.74835525773799	10312/534	2
hsa04014	hsa04014	Ras signaling pathway	7/319	232/8011	0.8235242796539357	0.9999999927575778	0.74835525773799	5336/1436/5880/6237/5320/2786/5322	7
hsa00071	hsa00071	Fatty acid degradation	1/319	44/8011	0.833514210181812	0.9999999927575778	0.74835525773799	2180	1
hsa04962	hsa04962	Vasopressin-regulated water reabsorption	1/319	44/8011	0.833514210181812	0.9999999927575778	0.74835525773799	397	1
hsa04724	hsa04724	Glutamatergic synapse	3/319	114/8011	0.8384229224116877	0.9999999927575778	0.74835525773799	2786/2892/2891	3
hsa04072	hsa04072	Phospholipase D signaling pathway	4/319	148/8011	0.847014650096747	0.9999999927575778	0.74835525773799	6850/2207/5336/6237	4
hsa04723	hsa04723	Retrograde endocannabinoid signaling	4/319	148/8011	0.847014650096747	0.9999999927575778	0.74835525773799	2786/5743/2892/2891	4
hsa04146	hsa04146	Peroxisome	2/319	83/8011	0.8490752911698675	0.9999999927575778	0.74835525773799	2180/6648	2
hsa04742	hsa04742	Taste transduction	2/319	83/8011	0.8490752911698675	0.9999999927575778	0.74835525773799	2550/6328	2
hsa04932	hsa04932	Non-alcoholic fatty liver disease (NAFLD)	4/319	149/8011	0.850690985254703	0.9999999927575778	0.74835525773799	355/3553/3569/1050	4
hsa01200	hsa01200	Carbon metabolism	3/319	117/8011	0.8510154762442111	0.9999999927575778	0.74835525773799	2203/2731/230	3
hsa04973	hsa04973	Carbohydrate digestion and absorption	1/319	47/8011	0.8527248293819699	0.9999999927575778	0.74835525773799	6518	1
hsa04012	hsa04012	ErbB signaling pathway	2/319	85/8011	0.8583460962120744	0.9999999927575778	0.74835525773799	5336/2065	2
hsa04071	hsa04071	Sphingolipid signaling pathway	3/319	119/8011	0.8589294565773907	0.9999999927575778	0.74835525773799	2207/5880/140	3
hsa04935	hsa04935	Growth hormone synthesis, secretion and action	3/319	119/8011	0.8589294565773907	0.9999999927575778	0.74835525773799	5336/3726/3486	3
hsa00270	hsa00270	Cysteine and methionine metabolism	1/319	49/8011	0.8642875360139516	0.9999999927575778	0.74835525773799	875	1
hsa05030	hsa05030	Cocaine addiction	1/319	49/8011	0.8642875360139516	0.9999999927575778	0.74835525773799	2891	1
hsa04340	hsa04340	Hedgehog signaling pathway	1/319	50/8011	0.8697248979847566	0.9999999927575778	0.74835525773799	894	1
hsa05410	hsa05410	Hypertrophic cardiomyopathy (HCM)	2/319	90/8011	0.8792929308734401	0.9999999927575778	0.74835525773799	3678/3569	2
hsa05032	hsa05032	Morphine addiction	2/319	91/8011	0.8831242724682182	0.9999999927575778	0.74835525773799	2786/2550	2
hsa04330	hsa04330	Notch signaling pathway	1/319	53/8011	0.8847680749599169	0.9999999927575778	0.74835525773799	10683	1
hsa04923	hsa04923	Regulation of lipolysis in adipocytes	1/319	55/8011	0.8938217193842898	0.9999999927575778	0.74835525773799	5743	1
hsa01212	hsa01212	Fatty acid metabolism	1/319	57/8011	0.9021660833528656	0.9999999927575778	0.74835525773799	2180	1
hsa00564	hsa00564	Glycerophospholipid metabolism	2/319	98/8011	0.9069502075856548	0.9999999927575778	0.74835525773799	5320/5322	2
hsa01522	hsa01522	Endocrine resistance	2/319	98/8011	0.9069502075856548	0.9999999927575778	0.74835525773799	10683/4318	2
hsa05231	hsa05231	Choline metabolism in cancer	2/319	98/8011	0.9069502075856548	0.9999999927575778	0.74835525773799	5880/8936	2
hsa04120	hsa04120	Ubiquitin mediated proteolysis	3/319	136/8011	0.9125724925837245	0.9999999927575778	0.74835525773799	330/11065/991	3
hsa00140	hsa00140	Steroid hormone biosynthesis	1/319	60/8011	0.9134727384597969	0.9999999927575778	0.74835525773799	1545	1
hsa05010	hsa05010	Alzheimer disease	4/319	171/8011	0.9144785780419706	0.9999999927575778	0.74835525773799	355/3553/4137/25825	4
hsa00310	hsa00310	Lysine degradation	1/319	61/8011	0.9169442761822627	0.9999999927575778	0.74835525773799	2146	1
hsa04972	hsa04972	Pancreatic secretion	2/319	102/8011	0.918447526719321	0.9999999927575778	0.74835525773799	5320/5322	2
hsa04213	hsa04213	Longevity regulating pathway - multiple species	1/319	62/8011	0.9202769523958297	0.9999999927575778	0.74835525773799	6648	1
hsa05217	hsa05217	Basal cell carcinoma	1/319	63/8011	0.9234763047905625	0.9999999927575778	0.74835525773799	8324	1
hsa04137	hsa04137	Mitophagy - animal	1/319	65/8011	0.9294960967614784	0.9999999927575778	0.74835525773799	6237	1
hsa05223	hsa05223	Non-small cell lung cancer	1/319	66/8011	0.9323265454316381	0.9999999927575778	0.74835525773799	5336	1
hsa00830	hsa00830	Retinol metabolism	1/319	67/8011	0.9350437049039234	0.9999999927575778	0.74835525773799	216	1
hsa04720	hsa04720	Long-term potentiation	1/319	67/8011	0.9350437049039234	0.9999999927575778	0.74835525773799	2891	1
hsa04725	hsa04725	Cholinergic synapse	2/319	112/8011	0.9416249165559785	0.9999999927575778	0.74835525773799	2786/3759	2
hsa04622	hsa04622	RIG-I-like receptor signaling pathway	1/319	70/8011	0.9425597633113263	0.9999999927575778	0.74835525773799	3627	1
hsa04917	hsa04917	Prolactin signaling pathway	1/319	70/8011	0.9425597633113263	0.9999999927575778	0.74835525773799	894	1
hsa00562	hsa00562	Inositol phosphate metabolism	1/319	74/8011	0.9512496793233333	0.9999999927575778	0.74835525773799	5336	1
hsa05214	hsa05214	Glioma	1/319	75/8011	0.9532090282329788	0.9999999927575778	0.74835525773799	5336	1
hsa04722	hsa04722	Neurotrophin signaling pathway	2/319	119/8011	0.953971489643049	0.9999999927575778	0.74835525773799	397/5336	2
hsa04919	hsa04919	Thyroid hormone signaling pathway	2/319	119/8011	0.953971489643049	0.9999999927575778	0.74835525773799	5336/10231	2
hsa05220	hsa05220	Chronic myeloid leukemia	1/319	76/8011	0.9550898649257308	0.9999999927575778	0.74835525773799	7048	1
hsa04152	hsa04152	AMPK signaling pathway	2/319	120/8011	0.9555176668499017	0.9999999927575778	0.74835525773799	2203/948	2
hsa05412	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	1/319	77/8011	0.9568953259324973	0.9999999927575778	0.74835525773799	3678	1
hsa04114	hsa04114	Oocyte meiosis	2/319	128/8011	0.9662199101187486	0.9999999927575778	0.74835525773799	9133/991	2
hsa04530	hsa04530	Tight junction	3/319	169/8011	0.9675257905252315	0.9999999927575778	0.74835525773799	3059/10398/11346	3
hsa04911	hsa04911	Insulin secretion	1/319	86/8011	0.9702120127390926	0.9999999927575778	0.74835525773799	3779	1
hsa00190	hsa00190	Oxidative phosphorylation	2/319	133/8011	0.9716035994467849	0.9999999927575778	0.74835525773799	10312/534	2
hsa04211	hsa04211	Longevity regulating pathway	1/319	89/8011	0.9736666923244952	0.9999999927575778	0.74835525773799	6648	1
hsa04970	hsa04970	Salivary secretion	1/319	90/8011	0.9747270716666419	0.9999999927575778	0.74835525773799	4069	1
hsa04915	hsa04915	Estrogen signaling pathway	2/319	138/8011	0.9761565993929315	0.9999999927575778	0.74835525773799	4318/2550	2
hsa04550	hsa04550	Signaling pathways regulating pluripotency of stem cells	2/319	140/8011	0.9777732032817987	0.9999999927575778	0.74835525773799	3976/8324	2
hsa05414	hsa05414	Dilated cardiomyopathy (DCM)	1/319	96/8011	0.98025268061558	0.9999999927575778	0.74835525773799	3678	1
hsa04070	hsa04070	Phosphatidylinositol signaling system	1/319	99/8011	0.9825456634154384	0.9999999927575778	0.74835525773799	5336	1
hsa04914	hsa04914	Progesterone-mediated oocyte maturation	1/319	99/8011	0.9825456634154384	0.9999999927575778	0.74835525773799	9133	1
hsa05224	hsa05224	Breast cancer	2/319	147/8011	0.9826385272272626	0.9999999927575778	0.74835525773799	10683/8324	2
hsa05226	hsa05226	Gastric cancer	2/319	149/8011	0.9838275731696431	0.9999999927575778	0.74835525773799	7048/8324	2
hsa04916	hsa04916	Melanogenesis	1/319	101/8011	0.9839248407971748	0.9999999927575778	0.74835525773799	8324	1
hsa04150	hsa04150	mTOR signaling pathway	2/319	153/8011	0.9859734109474922	0.9999999927575778	0.74835525773799	534/8324	2
hsa04922	hsa04922	Glucagon signaling pathway	1/319	106/8011	0.9869158733089067	0.9999999927575778	0.74835525773799	2203	1
hsa04928	hsa04928	Parathyroid hormone synthesis, secretion and action	1/319	106/8011	0.9869158733089067	0.9999999927575778	0.74835525773799	9935	1
hsa04934	hsa04934	Cushing syndrome	2/319	155/8011	0.9869400084388067	0.9999999927575778	0.74835525773799	196/8324	2
hsa05160	hsa05160	Hepatitis C	2/319	155/8011	0.9869400084388067	0.9999999927575778	0.74835525773799	355/3627	2
hsa04910	hsa04910	Insulin signaling pathway	1/319	137/8011	0.9963599484968095	0.9999999927575778	0.74835525773799	2203	1
hsa04141	hsa04141	Protein processing in endoplasmic reticulum	1/319	166/8011	0.9989053069525766	0.9999999927575778	0.74835525773799	57134	1
hsa03013	hsa03013	RNA transport	1/319	179/8011	0.9993621249814411	0.9999999927575778	0.74835525773799	1917	1
hsa05034	hsa05034	Alcoholism	1/319	184/8011	0.99948189761617	0.9999999927575778	0.74835525773799	2786	1
hsa05016	hsa05016	Huntington disease	1/319	199/8011	0.9997226030445535	0.9999999927575778	0.74835525773799	6648	1
hsa04714	hsa04714	Thermogenesis	1/319	231/8011	0.9999271354189435	0.9999999927575778	0.74835525773799	2180	1
hsa04740	hsa04740	Olfactory transduction	1/319	448/8011	0.9999999927575778	0.9999999927575778	0.74835525773799	5997	1
