#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
TNFRSF1B	PLAU	4444700	4444017	9606.ENSP00000365435	9606.ENSP00000361850	0	0	0	0	0.061	0	0.900	0.140	0.912
CTSS	C1QB	4443237	4438900	9606.ENSP00000357981	9606.ENSP00000313967	0	0	0	0	0.848	0	0	0.444	0.912
TGFBI	ITGB2	4448825	4446737	9606.ENSP00000416330	9606.ENSP00000380948	0	0	0	0	0.063	0	0.900	0.144	0.912
FPR1	CX3CR1	4450996	4442101	9606.ENSP00000471493	9606.ENSP00000351059	0	0	0	0.705	0.098	0	0.900	0.267	0.912
FUCA1	FABP5	4444399	4437379	9606.ENSP00000363603	9606.ENSP00000297258	0	0	0	0	0	0	0.900	0.156	0.912
PLAUR	CD33	4440945	4435042	9606.ENSP00000339328	9606.ENSP00000262262	0	0	0	0	0.063	0	0.900	0.143	0.912
FPR1	CXCL6	4450996	4433365	9606.ENSP00000471493	9606.ENSP00000226317	0	0	0	0	0	0	0.900	0.164	0.912
GNG4	PTGER4	4445956	4437902	9606.ENSP00000375727	9606.ENSP00000302846	0	0	0	0	0	0.165	0.900	0	0.912
PTPRC	SELL	4448605	4433660	9606.ENSP00000411355	9606.ENSP00000236147	0	0	0	0	0.573	0	0	0.803	0.912
CD44	GBP1	4448037	4443543	9606.ENSP00000398632	9606.ENSP00000359504	0	0	0	0	0.140	0	0.900	0.069	0.912
FPR1	GNG4	4450996	4445956	9606.ENSP00000471493	9606.ENSP00000375727	0	0	0	0	0	0.165	0.900	0	0.912
HJURP	TTK	4448718	4443396	9606.ENSP00000414109	9606.ENSP00000358813	0	0	0	0	0.893	0	0	0.210	0.912
GBP2	FCGR1A	4443541	4443273	9606.ENSP00000359497	9606.ENSP00000358165	0	0	0	0	0.143	0	0.900	0.059	0.912
GNG4	ADORA3	4445956	4443373	9606.ENSP00000375727	9606.ENSP00000358730	0	0	0	0	0	0.165	0.900	0	0.912
OLR1	FCER1G	4438475	4436828	9606.ENSP00000309124	9606.ENSP00000289902	0	0	0	0	0.069	0	0.900	0.139	0.912
FCGR3B	FOLR2	4449681	4437467	9606.ENSP00000433642	9606.ENSP00000298223	0	0	0	0	0.159	0	0.900	0	0.912
FBN1	DCN	4439770	4432629	9606.ENSP00000325527	9606.ENSP00000052754	0	0	0	0	0.400	0.385	0	0.781	0.912
PPBP	CXCL3	4437223	4437221	9606.ENSP00000296028	9606.ENSP00000296026	0	0	0	0.890	0.078	0	0.900	0.803	0.912
C3AR1	PPBP	4437821	4437223	9606.ENSP00000302079	9606.ENSP00000296028	0	0	0	0	0.164	0	0.900	0	0.912
P4HA2	COL6A3	4447190	4437161	9606.ENSP00000384999	9606.ENSP00000295550	0	0	0	0	0.086	0	0.900	0.118	0.912
CSPG5	DCN	4445771	4432629	9606.ENSP00000373244	9606.ENSP00000052754	0	0	0	0	0	0	0.900	0.163	0.912
ANXA1	CCR1	4444796	4437243	9606.ENSP00000366109	9606.ENSP00000296140	0	0	0	0	0.062	0	0.900	0.138	0.912
GNG4	EDNRA	4445956	4438963	9606.ENSP00000375727	9606.ENSP00000315011	0	0	0	0	0	0.165	0.900	0	0.912
ANXA1	CX3CR1	4444796	4442101	9606.ENSP00000366109	9606.ENSP00000351059	0	0	0	0	0	0	0.900	0.151	0.911
GPR183	P2RY13	4444726	4439360	9606.ENSP00000365596	9606.ENSP00000320376	0	0	0	0.719	0.154	0	0.900	0.046	0.911
WASF1	SYK	4446045	4444619	9606.ENSP00000376368	9606.ENSP00000364907	0	0	0	0	0	0.083	0.900	0.113	0.911
SPP1	LAMB1	4446370	4433228	9606.ENSP00000378517	9606.ENSP00000222399	0	0	0	0	0.061	0	0.900	0.132	0.911
APLNR	CCR1	4451129	4437243	9606.ENSP00000475344	9606.ENSP00000296140	0	0	0	0.738	0	0	0.900	0.468	0.911
PLAUR	OLR1	4440945	4438475	9606.ENSP00000339328	9606.ENSP00000309124	0	0	0	0	0.071	0	0.900	0.122	0.911
FBN1	IGFBP4	4439770	4435901	9606.ENSP00000325527	9606.ENSP00000269593	0	0	0	0	0.130	0	0.900	0.061	0.911
HJURP	BUB1B	4448718	4436731	9606.ENSP00000414109	9606.ENSP00000287598	0	0	0	0	0.887	0	0	0.243	0.911
KIF21B	KIF2C	4448627	4443901	9606.ENSP00000411831	9606.ENSP00000361298	0	0	0	0.623	0.087	0	0.900	0.210	0.911
SERPINA1	SRGN	4448813	4433821	9606.ENSP00000416066	9606.ENSP00000242465	0	0	0	0	0.098	0	0.900	0.099	0.911
CD44	IFI30	4448037	4447175	9606.ENSP00000398632	9606.ENSP00000384886	0	0	0	0	0.076	0	0.900	0.116	0.911
P4HA2	COL6A2	4447190	4437672	9606.ENSP00000384999	9606.ENSP00000300527	0	0	0	0	0.092	0	0.900	0.101	0.911
LYN	SLA	4449476	4447831	9606.ENSP00000428924	9606.ENSP00000394049	0	0	0	0.756	0.116	0.063	0.900	0.127	0.911
COL15A1	MMP7	4444486	4434758	9606.ENSP00000364140	9606.ENSP00000260227	0	0	0	0	0.062	0	0.900	0.135	0.911
F13A1	TIMP1	4435508	4433052	9606.ENSP00000264870	9606.ENSP00000218388	0	0	0	0	0.061	0	0.900	0.130	0.911
A2M	MMP7	4439653	4434758	9606.ENSP00000323929	9606.ENSP00000260227	0	0	0	0	0	0	0.900	0.151	0.911
SDC1	COL6A2	4445506	4437672	9606.ENSP00000370542	9606.ENSP00000300527	0	0	0	0	0.076	0	0.900	0.117	0.911
VAMP8	CYBA	4435329	4434915	9606.ENSP00000263864	9606.ENSP00000261623	0	0	0	0	0.122	0	0.900	0.070	0.911
CX3CR1	C5AR1	4442101	4441697	9606.ENSP00000351059	9606.ENSP00000347197	0	0	0	0.683	0.061	0	0.900	0.327	0.911
RNASE2	C3	4437950	4433951	9606.ENSP00000303276	9606.ENSP00000245907	0	0	0	0	0.051	0	0.900	0.141	0.911
P4HA2	COL15A1	4447190	4444486	9606.ENSP00000384999	9606.ENSP00000364140	0	0	0	0	0.100	0	0.900	0.098	0.911
CD36	CD33	4448068	4435042	9606.ENSP00000399421	9606.ENSP00000262262	0	0	0	0	0.092	0	0.900	0.108	0.911
MAFB	EZH2	4444159	4439336	9606.ENSP00000362410	9606.ENSP00000320147	0	0	0	0	0	0.053	0.900	0.143	0.911
IFI30	TRIM22	4447175	4445296	9606.ENSP00000384886	9606.ENSP00000369299	0	0	0	0	0.077	0	0.900	0.116	0.911
GABBR1	CCR5	4444811	4436956	9606.ENSP00000366233	9606.ENSP00000292303	0	0	0	0	0	0	0.900	0.155	0.911
P2RY13	CXCL8	4439360	4438229	9606.ENSP00000320376	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0.149	0.911
PRSS23	TIMP1	4436368	4433052	9606.ENSP00000280258	9606.ENSP00000218388	0	0	0	0	0.094	0	0.900	0.096	0.911
FSTL1	PRSS23	4437169	4436368	9606.ENSP00000295633	9606.ENSP00000280258	0	0	0	0	0.149	0	0.900	0	0.911
ANXA1	CXCL5	4444796	4437222	9606.ENSP00000366109	9606.ENSP00000296027	0	0	0	0	0.063	0	0.900	0.129	0.911
ANXA1	CXCL10	4444796	4438146	9606.ENSP00000366109	9606.ENSP00000305651	0	0	0	0	0.062	0	0.900	0.135	0.911
CYR61	PRSS23	4448043	4436368	9606.ENSP00000398736	9606.ENSP00000280258	0	0	0	0	0.155	0	0.900	0	0.911
GPR183	PPBP	4444726	4437223	9606.ENSP00000365596	9606.ENSP00000296028	0	0	0	0	0.142	0	0.900	0.052	0.911
APLNR	CX3CR1	4451129	4442101	9606.ENSP00000475344	9606.ENSP00000351059	0	0	0	0.701	0.067	0	0.900	0.324	0.911
CXCL2	PPBP	4449392	4437223	9606.ENSP00000427279	9606.ENSP00000296028	0	0	0	0.898	0.076	0	0.900	0.753	0.910
A2M	ISLR	4439653	4434109	9606.ENSP00000323929	9606.ENSP00000249842	0	0	0	0	0.146	0	0.900	0	0.910
PPBP	PTX3	4437223	4437211	9606.ENSP00000296028	9606.ENSP00000295927	0	0	0	0	0.061	0	0.900	0.126	0.910
CFD	SRGN	4440329	4433821	9606.ENSP00000332139	9606.ENSP00000242465	0	0	0	0	0.088	0	0.900	0.099	0.910
VNN2	FOLR2	4439513	4437467	9606.ENSP00000322276	9606.ENSP00000298223	0	0	0	0	0.139	0	0.900	0	0.910
GPR183	CXCL9	4444726	4442567	9606.ENSP00000365596	9606.ENSP00000354901	0	0	0	0	0.140	0	0.900	0	0.910
SERPING1	SRGN	4436285	4433821	9606.ENSP00000278407	9606.ENSP00000242465	0	0	0	0	0.061	0	0.900	0.126	0.910
FPR1	CCL20	4450996	4442174	9606.ENSP00000471493	9606.ENSP00000351671	0	0	0	0	0	0	0.900	0.146	0.910
CD36	GZMA	4448068	4436124	9606.ENSP00000399421	9606.ENSP00000274306	0	0	0	0	0.142	0	0.900	0	0.910
P2RY13	CXCL10	4439360	4438146	9606.ENSP00000320376	9606.ENSP00000305651	0	0	0	0	0.096	0	0.900	0.093	0.910
CFD	PPBP	4440329	4437223	9606.ENSP00000332139	9606.ENSP00000296028	0	0	0	0	0.076	0	0.900	0.106	0.910
PLAC8	PYCARD	4448082	4434024	9606.ENSP00000399700	9606.ENSP00000247470	0	0	0	0	0.144	0	0.900	0	0.910
RAB27A	LYZ	4446527	4434847	9606.ENSP00000379601	9606.ENSP00000261267	0	0	0	0	0.088	0	0.900	0.096	0.910
MXRA8	FN1	4448061	4441661	9606.ENSP00000399229	9606.ENSP00000346839	0	0	0	0	0.145	0	0.900	0	0.910
CXCL9	P2RY13	4442567	4439360	9606.ENSP00000354901	9606.ENSP00000320376	0	0	0	0	0.120	0	0.900	0.059	0.910
MXRA8	IGFBP4	4448061	4435901	9606.ENSP00000399229	9606.ENSP00000269593	0	0	0	0	0.141	0	0.900	0	0.910
FN1	ISLR	4441661	4434109	9606.ENSP00000346839	9606.ENSP00000249842	0	0	0	0	0.119	0	0.900	0.064	0.910
FPR1	GABBR1	4450996	4444811	9606.ENSP00000471493	9606.ENSP00000366233	0	0	0	0	0	0	0.900	0.137	0.910
IL6	LAMB1	4447254	4433228	9606.ENSP00000385675	9606.ENSP00000222399	0	0	0	0	0	0	0.900	0.141	0.910
LAPTM5	CD53	4437079	4435973	9606.ENSP00000294507	9606.ENSP00000271324	0	0	0	0	0.816	0	0	0.532	0.910
COL18A1	CTSK	4441742	4435989	9606.ENSP00000347665	9606.ENSP00000271651	0	0	0	0	0.077	0	0.900	0.111	0.910
GPR183	CX3CR1	4444726	4442101	9606.ENSP00000365596	9606.ENSP00000351059	0	0	0	0.723	0.077	0	0.900	0.296	0.910
PTPN6	CTSH	4447701	4433111	9606.ENSP00000391592	9606.ENSP00000220166	0	0	0	0	0.143	0	0.900	0.041	0.910
LAIR1	OLR1	4445944	4438475	9606.ENSP00000375622	9606.ENSP00000309124	0	0	0	0	0.065	0	0.900	0.121	0.910
CCL20	C5AR1	4442174	4441697	9606.ENSP00000351671	9606.ENSP00000347197	0	0	0	0	0	0	0.900	0.145	0.910
APLNR	GABBR1	4451129	4444811	9606.ENSP00000475344	9606.ENSP00000366233	0	0	0	0	0.090	0	0.900	0.097	0.910
PLAC8	CTSC	4448082	4433384	9606.ENSP00000399700	9606.ENSP00000227266	0	0	0	0	0.071	0	0.900	0.115	0.910
COL18A1	COL9A3	4441742	4441171	9606.ENSP00000347665	9606.ENSP00000341640	0	0	0	0.726	0.101	0	0.900	0.195	0.910
CD36	C3AR1	4448068	4437821	9606.ENSP00000399421	9606.ENSP00000302079	0	0	0	0	0.135	0	0.900	0	0.909
APLNR	GPR17	4451129	4450063	9606.ENSP00000475344	9606.ENSP00000442982	0	0	0	0.771	0.133	0	0.900	0.050	0.909
RNASE2	PYCARD	4437950	4434024	9606.ENSP00000303276	9606.ENSP00000247470	0	0	0	0	0.077	0	0.900	0.095	0.909
SDC2	PRSS23	4438282	4436368	9606.ENSP00000307046	9606.ENSP00000280258	0	0	0	0	0.082	0	0.900	0.091	0.909
MXRA8	CYR61	4448061	4448043	9606.ENSP00000399229	9606.ENSP00000398736	0	0	0	0	0.129	0	0.900	0	0.909
IL6	PRSS23	4447254	4436368	9606.ENSP00000385675	9606.ENSP00000280258	0	0	0	0	0.061	0	0.900	0.116	0.909
CD36	SLC2A5	4448068	4444888	9606.ENSP00000399421	9606.ENSP00000366641	0	0	0	0	0.064	0	0.900	0.114	0.909
PLAU	CD93	4444017	4433960	9606.ENSP00000361850	9606.ENSP00000246006	0	0	0	0	0.056	0	0.900	0.116	0.909
CXCL1	PPBP	4446449	4437223	9606.ENSP00000379110	9606.ENSP00000296028	0	0	0	0.909	0.071	0	0.900	0.705	0.909
APLNR	CXCL9	4451129	4442567	9606.ENSP00000475344	9606.ENSP00000354901	0	0	0	0	0.060	0	0.900	0.110	0.909
CD36	ITGB2	4448068	4446737	9606.ENSP00000399421	9606.ENSP00000380948	0	0	0	0	0.122	0	0.900	0.048	0.909
GPSM2	CXCL12	4447241	4446453	9606.ENSP00000385510	9606.ENSP00000379140	0	0	0	0	0	0	0.900	0.128	0.909
PTX3	LTF	4437211	4433548	9606.ENSP00000295927	9606.ENSP00000231751	0	0	0	0	0	0	0.900	0.136	0.909
PLAU	C3AR1	4444017	4437821	9606.ENSP00000361850	9606.ENSP00000302079	0	0	0	0	0.061	0	0.900	0.112	0.909
PRSS23	LAMB1	4436368	4433228	9606.ENSP00000280258	9606.ENSP00000222399	0	0	0	0	0.132	0	0.900	0	0.909
LY96	BIRC3	4436604	4435265	9606.ENSP00000284818	9606.ENSP00000263464	0	0	0	0	0.088	0	0.900	0.083	0.909
APLNR	CCL5	4451129	4451102	9606.ENSP00000475344	9606.ENSP00000474412	0	0	0	0	0	0.050	0.900	0.122	0.909
ANXA2	RNASE2	4441580	4437950	9606.ENSP00000346032	9606.ENSP00000303276	0	0	0	0	0	0	0.900	0.121	0.908
C5AR1	CXCL6	4441697	4433365	9606.ENSP00000347197	9606.ENSP00000226317	0	0	0	0	0.061	0	0.900	0.099	0.908
CXCL12	GABBR1	4446453	4444811	9606.ENSP00000379140	9606.ENSP00000366233	0	0	0	0	0	0	0.900	0.124	0.908
CCL4	ANXA1	4451651	4444796	9606.ENSP00000482259	9606.ENSP00000366109	0	0	0	0	0.061	0	0.900	0.099	0.908
C3AR1	GLIPR1	4437821	4435718	9606.ENSP00000302079	9606.ENSP00000266659	0	0	0	0	0.122	0	0.900	0	0.908
PLAUR	CD53	4440945	4435973	9606.ENSP00000339328	9606.ENSP00000271324	0	0	0	0	0	0	0.900	0.119	0.908
CCL20	C3AR1	4442174	4437821	9606.ENSP00000351671	9606.ENSP00000302079	0	0	0	0	0.065	0	0.900	0.096	0.908
CFD	ISLR	4440329	4434109	9606.ENSP00000332139	9606.ENSP00000249842	0	0	0	0	0.061	0.099	0.900	0	0.908
CCL5	P2RY13	4451102	4439360	9606.ENSP00000474412	9606.ENSP00000320376	0	0	0	0	0.097	0	0.900	0.069	0.908
LILRB2	VAMP8	4445945	4435329	9606.ENSP00000375629	9606.ENSP00000263864	0	0	0	0	0.123	0	0.900	0	0.908
NPC2	LYZ	4450343	4434847	9606.ENSP00000451112	9606.ENSP00000261267	0	0	0	0	0.062	0	0.900	0.106	0.908
LYZ	TNFAIP6	4434847	4433852	9606.ENSP00000261267	9606.ENSP00000243347	0	0	0	0	0.078	0	0.900	0.083	0.908
FBN1	CP	4439770	4435459	9606.ENSP00000325527	9606.ENSP00000264613	0	0	0	0	0.061	0	0.900	0.104	0.908
RNASET2	LYZ	4449364	4434847	9606.ENSP00000426455	9606.ENSP00000261267	0	0	0	0	0.104	0	0.900	0.057	0.908
NLGN3	EPB41L3	4442160	4441312	9606.ENSP00000351591	9606.ENSP00000343158	0	0	0	0	0.084	0	0.900	0.084	0.908
PRSS23	IGFBP4	4436368	4435901	9606.ENSP00000280258	9606.ENSP00000269593	0	0	0	0	0.089	0	0.900	0.073	0.908
PTPN6	CD3D	4447701	4437689	9606.ENSP00000391592	9606.ENSP00000300692	0	0	0	0	0.119	0	0.900	0	0.908
TRIM38	IRF8	4441949	4435834	9606.ENSP00000349596	9606.ENSP00000268638	0	0	0	0	0.066	0	0.900	0.095	0.908
F13A1	ISLR	4435508	4434109	9606.ENSP00000264870	9606.ENSP00000249842	0	0	0	0	0.119	0	0.900	0	0.908
IFITM1	C3	4447332	4433951	9606.ENSP00000386187	9606.ENSP00000245907	0	0	0	0	0.061	0	0.900	0.104	0.908
CECR1	LYZ	4446952	4434847	9606.ENSP00000382731	9606.ENSP00000261267	0	0	0	0	0.119	0	0.900	0	0.908
TNFRSF1B	OLR1	4444700	4438475	9606.ENSP00000365435	9606.ENSP00000309124	0	0	0	0	0.061	0	0.900	0.104	0.908
PLAC8	LYZ	4448082	4434847	9606.ENSP00000399700	9606.ENSP00000261267	0	0	0	0	0.121	0	0.900	0	0.908
ITGB2	VAMP8	4446737	4435329	9606.ENSP00000380948	9606.ENSP00000263864	0	0	0	0	0.122	0	0.900	0	0.908
LPAR6	GPR65	4445053	4435771	9606.ENSP00000367691	9606.ENSP00000267549	0	0	0	0.733	0.099	0	0.900	0.118	0.908
IGFBP3	CP	4445494	4435459	9606.ENSP00000370473	9606.ENSP00000264613	0	0	0	0	0.076	0	0.900	0.076	0.907
ITGB2	SLC2A5	4446737	4444888	9606.ENSP00000380948	9606.ENSP00000366641	0	0	0	0	0.117	0	0.900	0	0.907
COL4A1	IBSP	4444632	4433363	9606.ENSP00000364979	9606.ENSP00000226284	0	0	0	0	0	0	0.900	0.112	0.907
IL6	UBE2C	4447254	4441865	9606.ENSP00000385675	9606.ENSP00000348838	0	0	0	0	0	0	0.900	0.115	0.907
PLAU	OLR1	4444017	4438475	9606.ENSP00000361850	9606.ENSP00000309124	0	0	0	0	0	0	0.900	0.111	0.907
GPR17	CXCR4	4450063	4447439	9606.ENSP00000442982	9606.ENSP00000386884	0	0	0	0.675	0	0	0.900	0.266	0.907
CFD	F13A1	4440329	4435508	9606.ENSP00000332139	9606.ENSP00000264870	0	0	0	0	0.099	0	0.900	0.050	0.907
OLR1	C3AR1	4438475	4437821	9606.ENSP00000309124	9606.ENSP00000302079	0	0	0	0	0.095	0	0.900	0.055	0.907
SDC1	COL5A2	4445506	4444466	9606.ENSP00000370542	9606.ENSP00000364000	0	0	0	0	0.076	0	0.900	0.082	0.907
HJURP	BIRC5	4448718	4437778	9606.ENSP00000414109	9606.ENSP00000301633	0	0	0	0	0.887	0	0	0.211	0.907
RNASET2	PYCARD	4449364	4434024	9606.ENSP00000426455	9606.ENSP00000247470	0	0	0	0	0.116	0	0.900	0	0.907
TNFAIP6	LTF	4433852	4433548	9606.ENSP00000243347	9606.ENSP00000231751	0	0	0	0	0.076	0	0.900	0.076	0.907
PRC1	MCM7	4446249	4438312	9606.ENSP00000377793	9606.ENSP00000307288	0	0	0	0	0.902	0	0	0.094	0.907
CD36	LAIR1	4448068	4445944	9606.ENSP00000399421	9606.ENSP00000375622	0	0	0	0	0.111	0	0.900	0.041	0.907
P4HA2	COL9A3	4447190	4441171	9606.ENSP00000384999	9606.ENSP00000341640	0	0	0	0	0.052	0	0.900	0.107	0.907
CD36	TNFRSF1B	4448068	4444700	9606.ENSP00000399421	9606.ENSP00000365435	0	0	0	0	0.106	0	0.900	0.045	0.907
IFI30	FCGR1A	4447175	4443273	9606.ENSP00000384886	9606.ENSP00000358165	0	0	0	0	0.098	0	0.900	0.057	0.907
LTF	ALDOC	4433548	4433361	9606.ENSP00000231751	9606.ENSP00000226253	0	0	0	0	0.089	0	0.900	0.063	0.907
CXCR4	P2RY13	4447439	4439360	9606.ENSP00000386884	9606.ENSP00000320376	0	0	0	0.615	0.076	0	0.900	0.137	0.907
PYCARD	CTSC	4434024	4433384	9606.ENSP00000247470	9606.ENSP00000227266	0	0	0	0	0.085	0	0.900	0.070	0.907
PRSS23	C3	4436368	4433951	9606.ENSP00000280258	9606.ENSP00000245907	0	0	0	0	0	0	0.900	0.116	0.907
GABBR1	GPR183	4444811	4444726	9606.ENSP00000366233	9606.ENSP00000365596	0	0	0	0	0	0	0.900	0.112	0.907
POSTN	COL3A1	4445267	4438049	9606.ENSP00000369071	9606.ENSP00000304408	0	0	0	0	0.798	0	0	0.561	0.907
CXCR4	GPSM2	4447439	4447241	9606.ENSP00000386884	9606.ENSP00000385510	0	0	0	0	0	0	0.900	0.111	0.907
SERPINA1	LAMB1	4448813	4433228	9606.ENSP00000416066	9606.ENSP00000222399	0	0	0	0	0	0	0.900	0.110	0.907
SPP1	FSTL1	4446370	4437169	9606.ENSP00000378517	9606.ENSP00000295633	0	0	0	0	0.062	0	0.900	0.093	0.907
CYBB	SLC2A5	4445083	4444888	9606.ENSP00000367851	9606.ENSP00000366641	0	0	0	0	0.083	0	0.900	0.067	0.907
ANXA1	C3AR1	4444796	4437821	9606.ENSP00000366109	9606.ENSP00000302079	0	0	0	0	0.089	0	0.900	0.066	0.907
LYZ	CHI3L1	4434847	4434432	9606.ENSP00000261267	9606.ENSP00000255409	0	0	0	0	0.077	0	0.900	0.080	0.907
IGFBP4	C3	4435901	4433951	9606.ENSP00000269593	9606.ENSP00000245907	0	0	0	0	0.094	0	0.900	0.060	0.907
PLAC8	MNDA	4448082	4443045	9606.ENSP00000399700	9606.ENSP00000357123	0	0	0	0	0.109	0	0.900	0	0.907
PLAU	CYBA	4444017	4434915	9606.ENSP00000361850	9606.ENSP00000261623	0	0	0	0	0.084	0	0.900	0.063	0.906
COL15A1	COL9A3	4444486	4441171	9606.ENSP00000364140	9606.ENSP00000341640	0	0	0	0.690	0.055	0	0.900	0.204	0.906
CLEC5A	CD36	4450298	4448068	9606.ENSP00000449999	9606.ENSP00000399421	0	0	0	0	0.100	0	0.900	0	0.906
GPSM2	CXCL8	4447241	4438229	9606.ENSP00000385510	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0.108	0.906
SLC2A5	STOM	4444888	4436690	9606.ENSP00000366641	9606.ENSP00000286713	0	0	0	0	0.061	0.058	0.900	0.068	0.906
CTSS	ALDOC	4443237	4433361	9606.ENSP00000357981	9606.ENSP00000226253	0	0	0	0	0.052	0	0.900	0.090	0.906
MXRA8	LAMB1	4448061	4433228	9606.ENSP00000399229	9606.ENSP00000222399	0	0	0	0	0.107	0	0.900	0	0.906
FBN1	C3	4439770	4433951	9606.ENSP00000325527	9606.ENSP00000245907	0	0	0	0	0.065	0	0.900	0.077	0.906
SERPINA1	SDC2	4448813	4438282	9606.ENSP00000416066	9606.ENSP00000307046	0	0	0	0	0	0.101	0.900	0	0.906
CXCL2	IL1B	4449392	4435241	9606.ENSP00000427279	9606.ENSP00000263341	0	0	0	0	0.592	0	0	0.781	0.906
DOCK2	LTF	4434518	4433548	9606.ENSP00000256935	9606.ENSP00000231751	0	0	0	0	0.097	0	0.900	0.043	0.906
PLCG2	FCGR1A	4451677	4443273	9606.ENSP00000482457	9606.ENSP00000358165	0	0	0	0	0.064	0	0.900	0.083	0.906
CREG1	MNDA	4443557	4443045	9606.ENSP00000359540	9606.ENSP00000357123	0	0	0	0	0	0	0.900	0.107	0.906
CCL20	P2RY13	4442174	4439360	9606.ENSP00000351671	9606.ENSP00000320376	0	0	0	0	0	0	0.900	0.104	0.906
PLAC8	RNASE2	4448082	4437950	9606.ENSP00000399700	9606.ENSP00000303276	0	0	0	0	0.071	0	0.900	0.073	0.906
C3AR1	BST2	4437821	4434236	9606.ENSP00000302079	9606.ENSP00000252593	0	0	0	0	0.077	0	0.900	0.070	0.906
SPP1	SCG3	4446370	4433115	9606.ENSP00000378517	9606.ENSP00000220478	0	0	0	0	0.070	0	0.900	0.074	0.906
RNASE2	CTSC	4437950	4433384	9606.ENSP00000303276	9606.ENSP00000227266	0	0	0	0	0.050	0	0.900	0.090	0.906
GPR17	ADORA3	4450063	4443373	9606.ENSP00000442982	9606.ENSP00000358730	0	0	0	0	0	0	0.900	0.099	0.906
FUCA1	CTSC	4444399	4433384	9606.ENSP00000363603	9606.ENSP00000227266	0	0	0	0	0.061	0	0.900	0.083	0.906
PLAC8	C3	4448082	4433951	9606.ENSP00000399700	9606.ENSP00000245907	0	0	0	0	0.062	0	0.900	0.086	0.906
PTPN6	LTF	4447701	4433548	9606.ENSP00000391592	9606.ENSP00000231751	0	0	0	0	0.091	0	0.900	0.050	0.906
HJURP	ASPM	4448718	4442873	9606.ENSP00000414109	9606.ENSP00000356379	0	0	0	0	0.893	0	0	0.163	0.906
RNASET2	MNDA	4449364	4443045	9606.ENSP00000426455	9606.ENSP00000357123	0	0	0	0	0.101	0	0.900	0	0.906
IL6	SDC2	4447254	4438282	9606.ENSP00000385675	9606.ENSP00000307046	0	0	0	0	0	0	0.900	0.106	0.906
FCER1G	FCGR2A	4436828	4435978	9606.ENSP00000289902	9606.ENSP00000271450	0	0	0	0	0.619	0	0	0.765	0.906
RAB27A	CXCL1	4446527	4446449	9606.ENSP00000379601	9606.ENSP00000379110	0	0	0	0	0	0	0.900	0.108	0.906
COL9A3	COL6A2	4441171	4437672	9606.ENSP00000341640	9606.ENSP00000300527	0	0	0	0.644	0.058	0	0.900	0.165	0.906
SDC1	COL6A3	4445506	4437161	9606.ENSP00000370542	9606.ENSP00000295550	0	0	0	0	0.062	0	0.900	0.080	0.906
SERPINA1	SCG3	4448813	4433115	9606.ENSP00000416066	9606.ENSP00000220478	0	0	0	0	0	0	0.900	0.090	0.905
P2RY13	CXCL13	4439360	4436695	9606.ENSP00000320376	9606.ENSP00000286758	0	0	0	0	0.081	0	0.900	0.050	0.905
ANXA1	CXCL9	4444796	4442567	9606.ENSP00000366109	9606.ENSP00000354901	0	0	0	0	0.061	0	0.900	0.073	0.905
FABP5	C3	4437379	4433951	9606.ENSP00000297258	9606.ENSP00000245907	0	0	0	0	0.049	0	0.900	0.090	0.905
HJURP	KIF15	4448718	4439659	9606.ENSP00000414109	9606.ENSP00000324020	0	0	0	0	0.888	0	0	0.186	0.905
CXCL1	CTSH	4446449	4433111	9606.ENSP00000379110	9606.ENSP00000220166	0	0	0	0	0.050	0	0.900	0.087	0.905
SDC2	IGFBP4	4438282	4435901	9606.ENSP00000307046	9606.ENSP00000269593	0	0	0	0	0.091	0	0.900	0	0.905
ANXA1	CCL20	4444796	4442174	9606.ENSP00000366109	9606.ENSP00000351671	0	0	0	0	0.065	0	0.900	0.073	0.905
ANXA2	PYCARD	4441580	4434024	9606.ENSP00000346032	9606.ENSP00000247470	0	0	0	0	0.061	0	0.900	0.079	0.905
ANXA1	CXCL13	4444796	4436695	9606.ENSP00000366109	9606.ENSP00000286758	0	0	0	0	0.061	0	0.900	0.073	0.905
RAB27A	DOCK2	4446527	4434518	9606.ENSP00000379601	9606.ENSP00000256935	0	0	0	0	0.076	0	0.900	0.058	0.905
PLAUR	CYBA	4440945	4434915	9606.ENSP00000339328	9606.ENSP00000261623	0	0	0	0	0.091	0	0.900	0.047	0.905
CREG1	FABP5	4443557	4437379	9606.ENSP00000359540	9606.ENSP00000297258	0	0	0	0	0	0	0.900	0.089	0.905
MXRA8	SDC2	4448061	4438282	9606.ENSP00000399229	9606.ENSP00000307046	0	0	0	0	0.096	0	0.900	0	0.905
PLAUR	C3AR1	4440945	4437821	9606.ENSP00000339328	9606.ENSP00000302079	0	0	0	0	0.088	0	0.900	0.047	0.905
VAMP8	BST2	4435329	4434236	9606.ENSP00000263864	9606.ENSP00000252593	0	0	0	0	0.098	0	0.900	0	0.905
CXCL2	GPR183	4449392	4444726	9606.ENSP00000427279	9606.ENSP00000365596	0	0	0	0	0.089	0	0.900	0	0.905
